id,category,question,answer,keywords
FAQ-001,Orders & Order Management,How do I place an order?,Log in → add the product to Cart → Checkout → enter delivery details → confirm the order.,how|place|order
FAQ-002,Orders & Order Management,Where can I find my order history?,Go to My Account → My Orders to view previous and current orders.,where|can|find|order|history
FAQ-003,Orders & Order Management,Where can I find my order number?,Go to My Account → My Orders → select the order. The order number is shown in Order Details.,where|can|find|order|number
FAQ-004,Orders & Order Management,How do I cancel an order?,Go to My Account → My Orders → select the order → Cancel Order. This is available only before processing or shipping.,how|cancel|order
FAQ-005,Orders & Order Management,Where can I find the cancel option?,"Go to My Account → My Orders → select the order. If eligible, the Cancel Order option appears there.",where|can|find|the|cancel|option
FAQ-006,Orders & Order Management,How do I modify an order?,Go to My Account → My Orders → select the order and use any available modification option before processing or shipping.,how|modify|order
FAQ-007,Orders & Order Management,Can I change an order after it ships?,Changes may not be available after shipping. Open My Account → My Orders to check the available options.,can|change|order|after|ships
FAQ-008,Orders & Order Management,How do I check my order status?,Go to My Account → My Orders → select the order to view its current status.,how|check|order|status
FAQ-009,Orders & Order Management,Where can I see my order details?,"Go to My Account → My Orders → select the order to view its items, status, delivery, and payment details.",where|can|see|order|details
FAQ-010,Orders & Order Management,How do I reorder a previous purchase?,Go to My Account → My Orders → select the previous order → choose the available Reorder option.,how|reorder|previous|purchase
FAQ-011,Orders & Order Management,How do I change an item quantity?,Open My Account → My Orders → select the order and check whether quantity changes are still available.,how|change|item|quantity
FAQ-012,Orders & Order Management,Can I add another item to an existing order?,"If the order can still be modified, check My Account → My Orders. Otherwise, place a separate order.",can|add|another|item|existing|order
FAQ-013,Orders & Order Management,What happens when an order is cancelled?,The order status changes to Cancelled. Any eligible payment refund is processed according to the refund policy.,what|happens|when|order|cancelled
FAQ-014,Orders & Order Management,How do I confirm that an order was placed?,Open My Account → My Orders and look for the newly created order and its order details.,how|confirm|that|order|was|placed
FAQ-015,Orders & Order Management,Where can I find a previous order?,Go to My Account → My Orders and use the order list to select the previous purchase.,where|can|find|previous|order
FAQ-016,Orders & Order Management,Can I place multiple orders?,Yes. Complete checkout separately for each order you want to place.,can|place|multiple|orders
FAQ-017,Orders & Order Management,Where can I request an invoice?,"Go to My Account → My Orders → select the order → Invoice, if an invoice is available.",where|can|request|invoice
FAQ-018,Orders & Order Management,What should I do if I ordered the wrong product?,"Open My Account → My Orders and check whether cancellation or modification is available. If shipped, use the return process when eligible.",what|should|ordered|the|wrong|product
FAQ-019,Orders & Order Management,What does order processing mean?,Order processing means the order is being prepared before shipment. Some changes may stop being available during this stage.,what|does|order|processing|mean
FAQ-020,Orders & Order Management,Where can I find a cancelled order?,Go to My Account → My Orders and select the cancelled order to view its status and details.,where|can|find|cancelled|order
FAQ-021,Shipping & Delivery,What shipping options are available?,Available shipping methods and estimated delivery dates are shown during Checkout.,what|shipping|options|are|available
FAQ-022,Shipping & Delivery,Where can I find shipping options?,Go to Checkout and open the delivery or shipping section to see available methods.,where|can|find|shipping|options
FAQ-023,Shipping & Delivery,How much does shipping cost?,"Shipping cost depends on destination, product, carrier, and selected method. The applicable cost appears at Checkout.",how|much|does|shipping|cost
FAQ-024,Shipping & Delivery,Where can I see the shipping cost?,Go to Checkout → Shipping/Delivery to see the shipping charge before placing the order.,where|can|see|the|shipping|cost
FAQ-025,Shipping & Delivery,How long does standard shipping take?,The estimated standard delivery date is shown during Checkout and depends on the destination and carrier.,how|long|does|standard|shipping|take
FAQ-026,Shipping & Delivery,How long does express delivery take?,"If express delivery is available, its estimated delivery date is shown during Checkout.",how|long|does|express|delivery|take
